movie_id,director_id,duration,gross,movie_title,num_voted_users,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio
499549,1,178.0,760505847.0,Avatar ,886204,English,USA,PG-13,237000000.0,2009.0,7.9,1.78
449088,2,169.0,309404152.0,Pirates of the Caribbean: At World's End ,471220,English,USA,PG-13,300000000.0,2007.0,7.1,2.35
2379713,3,148.0,200074175.0,Spectre ,275868,English,UK,PG-13,245000000.0,2015.0,6.8,2.35
1345836,4,164.0,448130642.0,The Dark Knight Rises ,1144337,English,USA,PG-13,250000000.0,2012.0,8.5,2.35
5289954,5,,,Star Wars: Episode VII - The Force Awakens             ,8,,,,,,7.1,
401729,6,132.0,73058679.0,John Carter ,212204,English,USA,PG-13,263700000.0,2012.0,6.6,2.35
398286,7,100.0,200807262.0,Tangled ,294810,English,USA,PG,260000000.0,2010.0,7.8,1.85
2395427,8,141.0,458991599.0,Avengers: Age of Ultron ,462669,English,USA,PG-13,250000000.0,2015.0,7.5,2.35
417741,9,153.0,301956980.0,Harry Potter and the Half-Blood Prince ,321795,English,UK,PG,250000000.0,2009.0,7.5,2.35
2975590,10,183.0,330249062.0,Batman v Superman: Dawn of Justice ,371639,English,USA,PG-13,250000000.0,2016.0,6.9,2.35
348150,11,169.0,200069408.0,Superman Returns ,240396,English,USA,PG-13,209000000.0,2006.0,6.1,2.35
830515,12,106.0,168368427.0,Quantum of Solace ,330784,English,UK,PG-13,200000000.0,2008.0,6.7,2.35
383574,2,151.0,423032628.0,Pirates of the Caribbean: Dead Man's Chest ,522040,English,USA,PG-13,225000000.0,2006.0,7.3,2.35
1210819,2,150.0,89289910.0,The Lone Ranger ,181792,English,USA,PG-13,215000000.0,2013.0,6.5,2.35
770828,10,143.0,291021565.0,Man of Steel ,548573,English,USA,PG-13,225000000.0,2013.0,7.2,2.35
499448,13,150.0,141614023.0,The Chronicles of Narnia: Prince Caspian ,149922,English,USA,PG,225000000.0,2008.0,6.6,2.35
1298650,14,136.0,241063875.0,Pirates of the Caribbean: On Stranger Tides ,370704,English,USA,PG-13,250000000.0,2011.0,6.7,2.35
1409024,15,106.0,179020854.0,Men in Black 3 ,268154,English,USA,PG-13,225000000.0,2012.0,6.8,1.85
2310332,16,164.0,255108370.0,The Hobbit: The Battle of the Five Armies ,354228,English,New Zealand,PG-13,250000000.0,2014.0,7.5,2.35
948470,17,153.0,262030663.0,The Amazing Spider-Man ,451803,English,USA,PG-13,230000000.0,2012.0,7.0,2.35
955308,18,156.0,105219735.0,Robin Hood ,211765,English,USA,PG-13,200000000.0,2010.0,6.7,2.35
1170358,16,186.0,258355354.0,The Hobbit: The Desolation of Smaug ,483540,English,USA,PG-13,225000000.0,2013.0,7.9,2.35
385752,19,113.0,70083519.0,The Golden Compass ,149019,English,USA,PG-13,180000000.0,2007.0,6.1,2.35
120338,1,194.0,658672302.0,Titanic ,793059,English,USA,PG-13,200000000.0,1997.0,7.7,2.35
3498820,20,147.0,407197282.0,Captain America: Civil War ,272670,English,USA,PG-13,250000000.0,2016.0,8.2,2.35
1440129,21,131.0,65173160.0,Battleship ,202382,English,USA,PG-13,209000000.0,2012.0,5.9,2.35
369610,22,124.0,652177271.0,Jurassic World ,418214,English,USA,PG-13,150000000.0,2015.0,7.0,2.0
316654,23,135.0,373377893.0,Spider-Man 2 ,411164,English,USA,PG-13,200000000.0,2004.0,7.3,2.35
1300854,24,195.0,408992272.0,Iron Man 3 ,557489,English,USA,PG-13,200000000.0,2013.0,7.2,2.35
376994,25,104.0,234360014.0,X-Men: The Last Stand ,383427,English,Canada,PG-13,210000000.0,2006.0,6.8,2.35
1453405,26,104.0,268488329.0,Monsters University ,235025,English,USA,G,200000000.0,2013.0,7.3,1.85
1055369,27,150.0,402076689.0,Transformers: Revenge of the Fallen ,323207,English,USA,PG-13,200000000.0,2009.0,6.0,2.35
2109248,27,165.0,245428137.0,Transformers: Age of Extinction ,242420,English,USA,PG-13,210000000.0,2014.0,5.7,2.35
1872181,17,142.0,202853933.0,The Amazing Spider-Man 2 ,321227,English,USA,PG-13,200000000.0,2014.0,6.7,2.35
1216475,28,106.0,191450875.0,Cars 2 ,101178,English,USA,G,200000000.0,2011.0,6.3,2.35
1133985,29,123.0,116593191.0,Green Lantern ,223393,English,USA,PG-13,200000000.0,2011.0,5.6,2.35
435761,30,103.0,414984497.0,Toy Story 3 ,544884,English,USA,G,200000000.0,2010.0,8.3,1.85
438488,31,118.0,125320003.0,Terminator Salvation ,286095,English,USA,PG-13,200000000.0,2009.0,6.6,2.35
2820852,32,140.0,350034110.0,Furious 7 ,278232,English,USA,PG-13,190000000.0,2015.0,7.2,2.35
816711,12,123.0,202351611.0,World War Z ,465019,English,USA,PG-13,190000000.0,2013.0,7.0,2.35
1877832,11,149.0,233914986.0,X-Men: Days of Future Past ,514125,English,USA,PG-13,200000000.0,2014.0,8.0,2.35
1408101,33,132.0,228756232.0,Star Trek Into Darkness ,395573,English,USA,PG-13,190000000.0,2013.0,7.8,2.35
1351685,11,114.0,65171860.0,Jack the Giant Slayer ,106416,English,USA,PG-13,195000000.0,2013.0,6.3,2.35
473075,34,116.0,90755643.0,Prince of Persia: The Sands of Time ,222403,English,USA,PG-13,200000000.0,2010.0,6.6,2.35
1663662,35,131.0,101785482.0,Pacific Rim ,381148,English,USA,PG-13,190000000.0,2013.0,7.0,1.85
1399103,27,154.0,352358779.0,Transformers: Dark of the Moon ,326180,English,USA,PG-13,195000000.0,2011.0,6.3,2.35
367882,36,122.0,317011114.0,Indiana Jones and the Kingdom of the Crystal Skull ,333847,English,USA,PG-13,185000000.0,2008.0,6.2,2.35
1979388,37,93.0,123070338.0,The Good Dinosaur ,62836,English,USA,PG,,2015.0,6.8,2.35
1217209,38,93.0,237282182.0,Brave ,273556,English,USA,PG,185000000.0,2012.0,7.2,2.35
2660888,39,122.0,130468626.0,Star Trek Beyond ,53607,English,USA,PG-13,185000000.0,2016.0,7.5,2.35
910970,6,98.0,223806889.0,WALL·E ,718837,English,USA,G,180000000.0,2008.0,8.4,2.35
293564,25,91.0,140080850.0,Rush Hour 3 ,121084,English,USA,PG-13,140000000.0,2007.0,6.2,2.35
1190080,40,158.0,166112167.0,2012 ,283418,English,USA,PG-13,200000000.0,2009.0,5.8,2.35
1067106,41,96.0,137850096.0,A Christmas Carol ,72809,English,USA,PG,200000000.0,2009.0,6.8,2.35
1617661,42,127.0,47375327.0,Jupiter Ascending ,139593,English,USA,PG-13,176000000.0,2015.0,5.4,2.35
363771,13,150.0,291709845.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,English,USA,PG,180000000.0,2005.0,6.9,2.35
3385516,11,144.0,154985087.0,X-Men: Apocalypse ,148379,English,USA,PG-13,178000000.0,2016.0,7.3,2.35
468569,4,152.0,533316061.0,The Dark Knight ,1676169,English,USA,PG-13,185000000.0,2008.0,9.0,2.35
1049413,43,96.0,292979556.0,Up ,665575,English,USA,PG,175000000.0,2009.0,8.3,1.85
892782,44,94.0,198332128.0,Monsters vs. Aliens ,114553,English,USA,PG,175000000.0,2009.0,6.5,2.35
371746,45,126.0,318298180.0,Iron Man ,696338,English,USA,PG-13,140000000.0,2008.0,7.9,2.35
970179,46,126.0,73820094.0,Hugo ,245333,English,USA,PG,170000000.0,2011.0,7.5,1.85
